Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
14,25,132,3300,1469,1177
55,20,73,242,600,96
80,200,420,720,600,384
65,20,144,314,450,35.2
40,33,146,880,550,176
7,250,520,26800,1700,16170
28,130,294,3540,823,2046
40,35,238,1170,570,328.3
28,25,110,1178,600,153.6
55,30,146,514,600,384
12,250,815,21100,1290,15670
90,171,484,681,600,345.6
40,215,529,3100,608,1089
28,33,87,1020,575,441.6
28,130,118,1270,850,326.4
28,15,125,1200,200,737.3
80,175,181,232,500,240
28,375,561,7080,705,5046
20,10,118,2000,640,235.8
14,150,232,5700,1074,4394
28,75,148,1870,1020,1389
40,19,59,292,650,104
16,250,471,11800,1557,10690
40,14,57,260,525,36.8
55,110,192,666,660,422.4
28,130,294,3540,823,2046
40,150,332,1950,650,748.8
40,25,67,370,625,200
65,125,324,754,725,448
90,143,484,681,513,228.1
40,35,116,585,672,258
12,250,815,21100,1245,16350
12,25,200,4700,720,1667
7,475,331,13230,1574,14090
16,250,471,11800,1303,11760
28,75,160,2080,1000,1536
14,25,74,1800,1469,1177
55,110,192,666,777,497.3
7,85,158,6400,1000,4224
65,35,153,390,600,144
8,150,628,28300,885,31240
40,215,529,3100,608,855.4
40,62,238,1170,625,480
28,225,294,3540,745,2289
55,150,260,754,675,414.7
40,100,332,1950,475,638.4
28,225,398,5200,557,4825
16,75,314,7200,1328,5530
65,60,240,505,530,127.2
28,55,221,2540,628,1009
40,11,59,292,650,104
55,50,121,314,738,117.5
28,50,77,950,730,599
14,150,232,5700,1120,5834
14,50,103,2200,1100,1647
40,33,116,585,660,253.4
80,40,127,210,500,38.4
90,154,484,681,500,230.4
12,50,200,4700,1395,2607
14,150,232,5700,1168,5095
28,245,561,7080,745,5046
16,75,200,4400,1493,2488
40,18,75,450,488,78.08
28,65,77,950,1000,806.4
12,80,545,13600,780,7066
65,84,324,754,550,264
40,150,332,1950,736,847.9
28,30,77,950,730,499.2
28,65,118,1270,1058,812.5
40,11,104,716,450,360
28,15,125,1200,200,553
